 2016-03-20 14:50:12,056 [P12272/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.0 application starting on ALOTPC
 2016-03-20 14:50:12,263 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-03-20 14:50:12,292 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 28ms)
 2016-03-20 14:50:12,489 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-03-20 14:50:13,070 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 580ms)
 2016-03-20 14:50:13,718 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-03-20 14:50:13,719 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2016-03-20 14:50:13,719 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-03-20 14:50:13,721 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 2ms)
 2016-03-20 14:50:13,739 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-03-20 14:50:13,820 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 80ms)
 2016-03-20 14:50:13,820 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-03-20 14:50:13,826 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 5ms)
 2016-03-20 14:50:14,283 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-03-20 14:50:14,284 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-03-20 14:50:14,284 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-03-20 14:50:14,284 [P12272/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-03-20 14:50:16,481 [P12272/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-03-20 14:50:17,183 [P12272/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-03-20 14:50:17,185 [P12272/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-03-20 14:50:17,714 [P12272/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
